Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
4.10131E-11,0.000000004,0.000000003,0.924637681,0,0
1.35515E-10,0.000000018,0.00000001,0.92173913,0,0
1.40114E-10,0.000000032,0.00000001,0.91884058,0,0
8.5124E-10,0.000000168,0.00000006,0.910144928,0,0
9.47083E-10,0.000000262,0.000000067,0.907246377,0,0
1.22635E-8,0.000001816,0.000000861,0.901449275,0,0
1.65625E-8,0.000003472,0.000001163,0.898550725,0,0
9.80264E-8,0.000017506,0.000006883,0.892753623,0,0
1.47896E-7,0.000032296,0.000010385,0.889855072,0,0
2.38062E-7,0.000056102,0.000016716,0.886956522,0,0
2.89869E-7,0.000109199,0.000020353,0.88115942,0,0
3.99025E-7,0.000280576,0.000028018,0.866666667,0,0
7.32802E-7,0.000547682,0.000051453,0.855072464,0,0
1.73538E-6,0.001036662,0.000121838,0.843478261,0,0
3.21446E-6,0.002516698,0.00022566,0.826086957,0,0
4.76074E-6,0.005108288,0.000334174,0.808695652,0,0
9.33689E-6,0.010414975,0.000655181,0.785507246,0,0
1.55191E-5,0.025806745,0.001088524,0.747826087,0,0
2.54455E-5,0.051659919,0.001783523,0.713043478,0,0
3.91282E-5,0.101848365,0.002739943,0.666666667,0,0
7.15841E-5,0.201410961,0.005001294,0.614492754,0,0
9.68715E-5,0.307670368,0.006756092,0.579710145,0,0
1.39917E-4,0.404325865,0.009728973,0.556521739,0,0
1.69424E-4,0.5139449,0.011756646,0.536231884,0,0
1.99268E-4,0.607937257,0.013798953,0.52173913,0,0
2.09587E-4,0.710906153,0.014503172,0.507246377,0,0
2.13965E-4,0.753289,0.01480164,0.501449275,0,0
2.18393E-4,0.818437238,0.015103336,0.492753623,0,0
2.31298E-4,0.907496952,0.015981521,0.48115942,0.014492754,0
2.72653E-4,1.0106361,0.018785314,0.469565217,0.014492754,0
2.87878E-4,1.12414748,0.019813471,0.457971014,0.028985507,0
3.19959E-4,1.218479227,0.021972967,0.449275362,0.028985507,0
3.33849E-4,1.317134867,0.022905014,0.44057971,0.028985507,0
3.60359E-4,1.42446502,0.024678941,0.431884058,0.028985507,0
3.88847E-4,1.501449181,0.02657806,0.426086957,0.028985507,0
4.51354E-4,1.794662868,0.030719214,0.405797101,0.043478261,0
5.39981E-4,2.053560812,0.036530872,0.391304348,0.043478261,0
6.40265E-4,2.303323461,0.043023409,0.379710145,0.043478261,0
7.09909E-4,2.510250478,0.047480975,0.371014493,0.043478261,0
7.52412E-4,2.807129212,0.050181074,0.35942029,0.043478261,0
8.29145E-4,3.047036197,0.055017122,0.350724638,0.043478261,0
8.67739E-4,3.304757131,0.057430919,0.342028986,0.043478261,0
9.26769E-4,3.57589713,0.06109911,0.333333333,0.043478261,0
9.35763E-4,3.762325344,0.061655509,0.327536232,0.043478261,0
9.79124E-4,4.052934088,0.064328663,0.31884058,0.043478261,0
1.08431E-3,4.266058118,0.070750657,0.313043478,0.057971014,0
1.19273E-3,4.574114457,0.077277996,0.304347826,0.057971014,0
1.22172E-3,4.853550384,0.07900807,0.298550725,0.072463768,0
1.24955E-3,5.101616169,0.080662644,0.292753623,0.072463768,0
1.26679E-3,5.353878258,0.081684868,0.286956522,0.072463768,0
1.32362E-3,5.615061795,0.085037244,0.28115942,0.072463768,0
1.33939E-3,5.881833735,0.085963427,0.275362319,0.072463768,0
1.38907E-3,6.020740831,0.088868723,0.272463768,0.072463768,0
1.56487E-3,6.328991273,0.099002069,0.266666667,0.072463768,0
1.6033E-3,6.649510727,0.101187472,0.260869565,0.072463768,0
1.73648E-3,6.823158267,0.108679154,0.257971014,0.086956522,0
1.86049E-3,7.009206977,0.115543776,0.255072464,0.086956522,0
1.90076E-3,7.387416443,0.11775026,0.249275362,0.086956522,0
2.03746E-3,7.591162321,0.125158855,0.246376812,0.086956522,0
2.09899E-3,7.801061588,0.128453266,0.243478261,0.086956522,0
2.13456E-3,8.014518044,0.130346426,0.24057971,0.086956522,0
2.49528E-3,8.480817439,0.149089379,0.234782609,0.086956522,0
2.59412E-3,8.740229169,0.154084856,0.231884058,0.086956522,0
2.61488E-3,9.001717376,0.155126908,0.228985507,0.086956522,0
2.6415E-3,9.265867387,0.156458948,0.226086957,0.086956522,0
2.80366E-3,9.546233473,0.164484044,0.223188406,0.086956522,0
2.88223E-3,9.834456624,0.168317727,0.220289855,0.086956522,0
2.88945E-3,10.123401142,0.168667939,0.217391304,0.086956522,0
2.90103E-3,10.413504617,0.169229977,0.214492754,0.086956522,0
2.99854E-3,10.713358207,0.173928398,0.211594203,0.086956522,0
3.04931E-3,11.018288933,0.176354005,0.208695652,0.086956522,0
3.09317E-3,11.327605846,0.178438072,0.205797101,0.086956522,0
3.27544E-3,11.655150174,0.186986898,0.202898551,0.086956522,0
3.27975E-3,11.983125044,0.187186676,0.2,0.086956522,0
3.37467E-3,12.320592366,0.191566504,0.197101449,0.086956522,0
3.42917E-3,12.66350902,0.194059572,0.194202899,0.086956522,0
3.45695E-3,13.009203834,0.19532467,0.191304348,0.086956522,0
3.52784E-3,13.361987438,0.198534789,0.188405797,0.086956522,0
3.66266E-3,13.728253255,0.204569985,0.185507246,0.086956522,0
3.68208E-3,14.096461013,0.205431797,0.182608696,0.086956522,0
3.71541E-3,14.468002248,0.206906812,0.179710145,0.086956522,0
3.75364E-3,14.843366125,0.208591549,0.176811594,0.086956522,0
3.84623E-3,15.227988958,0.212642697,0.173913043,0.086956522,0
3.88283E-3,15.616271743,0.214232652,0.171014493,0.086956522,0
