Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
2.70131E-6,0.000270131,0.000266611,1,0,0
2.8027E-6,0.000550401,0.000276615,0.997101449,0,0
2.91251E-6,0.001127497,0.00028745,0.991304348,0,0
3.54679E-6,0.002762784,0.000350028,0.976811594,0,0
4.88336E-6,0.005353826,0.000481868,0.95942029,0,0
7.21617E-6,0.010206682,0.000711897,0.936231884,0,0
8.11796E-5,0.029597621,0.007950592,0.91884058,0,0
1.09603E-4,0.058618789,0.010704549,0.910144928,0,0
1.22138E-4,0.10550723,0.011914188,0.898550725,0,0
1.43142E-4,0.210714222,0.013934518,0.875362319,0,0
1.65733E-4,0.304545027,0.016098309,0.857971014,0,0
1.78637E-4,0.408303776,0.017330026,0.84057971,0,0
1.97484E-4,0.502754275,0.019123445,0.826086957,0,0
2.19429E-4,0.607875641,0.021203377,0.811594203,0,0
2.32742E-4,0.721417622,0.022460945,0.797101449,0,0
2.372E-4,0.768667801,0.022881328,0.791304348,0,0
2.42322E-4,0.816968726,0.023363839,0.785507246,0,0
2.52731E-4,0.91632079,0.024343067,0.773913043,0,0
2.65335E-4,1.020743743,0.025526083,0.762318841,0,0
2.70763E-4,1.101155269,0.02603468,0.753623188,0,0
2.84949E-4,1.212320303,0.027361411,0.742028986,0,0
3.06422E-4,1.301048518,0.029362749,0.733333333,0.014492754,0
3.24607E-4,1.428035479,0.03105115,0.72173913,0.028985507,0
3.51063E-4,1.531090977,0.033497137,0.713043478,0.043478261,0
3.80303E-4,1.752402058,0.03618612,0.695652174,0.043478261,0
3.98659E-4,2.025228906,0.037866618,0.675362319,0.043478261,0
4.12186E-4,2.268568015,0.039101238,0.657971014,0.043478261,0
4.30574E-4,2.522012644,0.040774417,0.64057971,0.043478261,0
4.59975E-4,2.788899846,0.043437647,0.623188406,0.043478261,0
4.6977E-4,3.022146774,0.044321669,0.608695652,0.043478261,0
4.87781E-4,3.260696228,0.045942873,0.594202899,0.057971014,0
5.10881E-4,3.510758615,0.048014176,0.579710145,0.057971014,0
5.40658E-4,3.776621973,0.050670877,0.565217391,0.086956522,0
5.64489E-4,4.053194281,0.052786502,0.550724638,0.101449275,0
5.85062E-4,4.283414273,0.054605258,0.539130435,0.101449275,0
6.10362E-4,4.525427535,0.056832382,0.527536232,0.115942029,0
6.28133E-4,4.772562986,0.058390395,0.515942029,0.115942029,0
6.55564E-4,5.03041126,0.060785349,0.504347826,0.115942029,0
6.71491E-4,5.296039883,0.062170356,0.492753623,0.115942029,0
7.1406E-4,5.506803401,0.065852088,0.484057971,0.115942029,0
7.42369E-4,5.797413487,0.068284558,0.472463768,0.115942029,0
7.85587E-4,6.027452874,0.071973721,0.463768116,0.115942029,0
7.94094E-4,6.265114181,0.0726964,0.455072464,0.115942029,0
8.25885E-4,6.509727015,0.075387391,0.446376812,0.115942029,0
8.38037E-4,6.759487419,0.076411837,0.437681159,0.130434783,0
8.51961E-4,7.013107756,0.077582938,0.428985507,0.130434783,0
8.71083E-4,7.272980691,0.079186362,0.420289855,0.130434783,0
8.95881E-4,7.537243862,0.081257472,0.411594203,0.130434783,0
9.19533E-4,7.811833459,0.083224181,0.402898551,0.130434783,0
9.60535E-4,8.000325199,0.086613757,0.397101449,0.130434783,0
9.82626E-4,8.293576163,0.088429631,0.388405797,0.130434783,0
1.00649E-3,8.593303452,0.090382918,0.379710145,0.130434783,0
1.01466E-3,8.796109837,0.091049806,0.373913043,0.130434783,0
1.03005E-3,9.001725902,0.092303708,0.368115942,0.130434783,0
1.0374E-3,9.312713891,0.092901259,0.35942029,0.130434783,0
1.06412E-3,9.52427738,0.0950666,0.353623188,0.130434783,0
1.119E-3,9.850361222,0.099481638,0.344927536,0.130434783,0
1.14856E-3,10.078232568,0.101841367,0.339130435,0.130434783,0
1.15236E-3,10.308680821,0.102144497,0.333333333,0.130434783,0
1.20058E-3,10.548483437,0.105965438,0.327536232,0.130434783,0
1.21733E-3,10.791402888,0.107285236,0.32173913,0.130434783,0
1.2508E-3,11.038913652,0.10991093,0.315942029,0.130434783,0
1.28349E-3,11.294778794,0.112460083,0.310144928,0.130434783,0
1.31763E-3,11.555528386,0.115107384,0.304347826,0.130434783,0
1.32173E-3,11.819772709,0.115424474,0.298550725,0.130434783,0
1.33822E-3,12.087131266,0.116696107,0.292753623,0.130434783,0
1.35448E-3,12.357040518,0.117947241,0.286956522,0.130434783,0
1.37856E-3,12.631407685,0.119792456,0.28115942,0.130434783,0
1.43929E-3,12.775336745,0.124413322,0.27826087,0.130434783,0
1.44802E-3,13.064773977,0.125073495,0.272463768,0.130434783,0
1.47802E-3,13.35878212,0.127334615,0.266666667,0.130434783,0
1.48511E-3,13.507293562,0.127867876,0.263768116,0.130434783,0
1.50489E-3,13.807249792,0.129350587,0.257971014,0.144927536,0
1.51691E-3,14.109993902,0.130248944,0.252173913,0.144927536,0
1.52283E-3,14.262277342,0.130691111,0.249275362,0.144927536,0
1.53825E-3,14.568946973,0.131840029,0.243478261,0.144927536,0
1.58309E-3,14.772063445,0.135163252,0.237681159,0.144927536,0
1.65727E-3,15.0549014,0.140606384,0.234782609,0.15942029,0
1.72958E-3,15.399212611,0.145846586,0.228985507,0.15942029,0
1.79789E-3,15.57900142,0.150738251,0.226086957,0.15942029,0
1.85807E-3,15.764808443,0.155001926,0.223188406,0.15942029,0
1.93305E-3,16.147346306,0.160254561,0.217391304,0.15942029,0
1.95124E-3,16.342469964,0.161518623,0.214492754,0.15942029,0
1.97928E-3,16.540398322,0.163460785,0.211594203,0.15942029,0
2.15185E-3,16.755583519,0.175215371,0.208695652,0.15942029,0
2.23948E-3,17.202388506,0.181058341,0.202898551,0.15942029,0
2.29056E-3,17.431444652,0.184426841,0.2,0.15942029,0
2.40255E-3,17.671699578,0.191714992,0.197101449,0.15942029,0
2.40288E-3,17.911987307,0.191736149,0.194202899,0.15942029,0
2.40707E-3,18.152694342,0.19200649,0.191304348,0.15942029,0
2.53418E-3,18.406112134,0.200116572,0.188405797,0.15942029,0
2.54168E-3,18.660279913,0.200590016,0.185507246,0.15942029,0
2.58552E-3,18.918831491,0.203346206,0.182608696,0.15942029,0
2.66367E-3,19.185198089,0.208212826,0.179710145,0.15942029,0
2.70584E-3,19.455781841,0.210814342,0.176811594,0.15942029,0
2.71803E-3,19.727584813,0.211563281,0.173913043,0.15942029,0
2.9385E-3,20.021435099,0.224865343,0.171014493,0.15942029,0
2.95262E-3,20.31669704,0.22570178,0.168115942,0.15942029,0
3.27008E-3,20.514508298,0.244046395,0.165217391,0.15942029,0
3.5623E-3,21.024632105,0.260180632,0.162318841,0.173913043,0
3.58176E-3,21.382807666,0.261230623,0.15942029,0.173913043,0
3.78551E-3,21.761358206,0.27204815,0.156521739,0.173913043,0
3.85637E-3,22.146995476,0.275736773,0.153623188,0.173913043,0
3.94055E-3,22.532615159,0.280069876,0.150724638,0.173913043,0
4.05216E-3,22.946454967,0.285735974,0.147826087,0.188405797,0
4.41642E-3,23.388096571,0.303622505,0.144927536,0.188405797,0
4.42509E-3,23.830606039,0.304037747,0.142028986,0.188405797,0
4.53178E-3,24.283783762,0.309101964,0.139130435,0.188405797,0
4.57053E-3,24.740836908,0.310923424,0.136231884,0.188405797,0
5.16563E-3,25.257400215,0.337734248,0.133333333,0.188405797,0
5.1836E-3,25.77576069,0.338511501,0.130434783,0.188405797,0
5.67892E-3,26.247122642,0.359237917,0.127536232,0.188405797,0
5.79227E-3,26.354987943,0.363799579,0.127536232,0.202898551,0
5.90077E-3,26.752819988,0.368105684,0.124637681,0.217391304,0
6.36774E-3,27.576562697,0.38599225,0.12173913,0.246376812,0
6.39645E-3,28.227627379,0.387058705,0.11884058,0.260869565,0
6.70669E-3,28.898295911,0.398353466,0.115942029,0.260869565,0
6.99006E-3,29.597301828,0.408312402,0.113043478,0.260869565,0
7.05065E-3,30.014592675,0.410399231,0.110144928,0.260869565,0
7.09305E-3,30.306607132,0.411850832,0.110144928,0.275362319,0
7.32776E-3,30.54594559,0.419758457,0.107246377,0.275362319,0
7.86427E-3,31.093034114,0.437059267,0.107246377,0.289855072,0
7.89823E-3,31.882856884,0.438119658,0.104347826,0.289855072,0
8.71029E-3,32.691900287,0.462338872,0.101449275,0.289855072,0
8.77945E-3,32.760801504,0.464305347,0.101449275,0.304347826,0
8.89876E-3,33.650677659,0.467664412,0.098550725,0.304347826,0
9.08281E-3,33.900407026,0.472764147,0.095652174,0.304347826,0
9.318E-3,34.219518308,0.479140252,0.095652174,0.31884058,0
9.43987E-3,34.384877336,0.482383976,0.095652174,0.333333333,0
9.60678E-3,34.611355933,0.486761631,0.095652174,0.347826087,0
9.66787E-3,35.578142643,0.488345231,0.092753623,0.347826087,0
9.79842E-3,36.55798465,0.491697242,0.089855072,0.347826087,0
9.82214E-3,37.540198307,0.492301467,0.086956522,0.347826087,0
9.85335E-3,38.52553317,0.493094469,0.084057971,0.347826087,0
1.14944E-2,39.674968977,0.531563242,0.08115942,0.347826087,0
1.14968E-2,40.82464821,0.531615969,0.07826087,0.347826087,0
1.1677E-2,41.992343301,0.535485653,0.075362319,0.347826087,0
1.23392E-2,43.226261643,0.549176656,0.072463768,0.347826087,0
1.23761E-2,43.348098822,0.549916293,0.069565217,0.347826087,0
1.27248E-2,44.498743006,0.55678364,0.069565217,0.362318841,0
1.27619E-2,44.571347421,0.557502079,0.066666667,0.362318841,0
1.34102E-2,45.839759728,0.569687905,0.066666667,0.376811594,0
1.36565E-2,47.205407406,0.574143923,0.063768116,0.376811594,0
1.37387E-2,48.57927545,0.575610611,0.060869565,0.376811594,0
1.39765E-2,49.976921109,0.579796729,0.057971014,0.376811594,0
1.4443E-2,51.421217539,0.587774334,0.055072464,0.376811594,0
1.51443E-2,52.36366298,0.599214165,0.052173913,0.376811594,0
1.56043E-2,52.981642702,0.606376969,0.052173913,0.405797101,0
1.58904E-2,54.570679482,0.610705302,0.049275362,0.405797101,0
1.60121E-2,56.171886677,0.612517706,0.046376812,0.405797101,0
1.60423E-2,56.441297071,0.612965943,0.043478261,0.405797101,0
1.61941E-2,57.791292085,0.615196497,0.043478261,0.420289855,0
1.72961E-2,58.698082937,0.630659667,0.04057971,0.420289855,0
1.80241E-2,59.297046163,0.640209639,0.04057971,0.434782609,0
1.84345E-2,59.634744017,0.645379364,0.04057971,0.449275362,0
1.91602E-2,60.518405936,0.654165752,0.037681159,0.449275362,0
1.95449E-2,60.986865597,0.658649417,0.037681159,0.463768116,0
1.9865E-2,61.376637098,0.662292289,0.037681159,0.47826087,0
2.00839E-2,61.64313408,0.664738586,0.037681159,0.492753623,0
2.04759E-2,62.946718497,0.669033116,0.034782609,0.507246377,0
2.07066E-2,63.71379696,0.671509146,0.034782609,0.52173913,0
2.07531E-2,63.863598015,0.672003784,0.031884058,0.52173913,0
2.1068E-2,64.877964907,0.675314385,0.031884058,0.536231884,0
2.13523E-2,65.793647789,0.678246034,0.031884058,0.550724638,0
2.14688E-2,66.122778783,0.679432693,0.028985507,0.579710145,0
2.21755E-2,68.068351386,0.686445624,0.028985507,0.594202899,0
2.23634E-2,68.315951408,0.688258304,0.026086957,0.608695652,0
2.313E-2,69.326485282,0.69544411,0.026086957,0.623188406,0
2.3996E-2,70.467950903,0.703172632,0.026086957,0.637681159,0
2.45608E-2,70.730510545,0.708005029,0.023188406,0.637681159,0
2.47066E-2,70.79832494,0.709227689,0.023188406,0.652173913,0
2.52996E-2,71.074025367,0.714094763,0.023188406,0.68115942,0
