Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
2.24728E-8,0.000002247,0.000005827,0.976811594,0,0
4.24522E-7,0.0000447,0.000110064,0.973913043,0,0
5.22956E-7,0.000096995,0.000135582,0.971014493,0,0
8.65664E-7,0.000183562,0.000224412,0.968115942,0,0
1.29608E-6,0.000313169,0.000335954,0.965217391,0,0
3.62856E-6,0.000676025,0.000939984,0.962318841,0,0
5.24162E-6,0.001200187,0.001357282,0.95942029,0,0
6.51778E-6,0.002501434,0.001687178,0.953623188,0,0
1.19012E-5,0.005405545,0.00307642,0.944927536,0,0
2.00461E-5,0.011737851,0.005170989,0.933333333,0,0
5.01423E-5,0.025669054,0.012834781,0.924637681,0,0
1.09108E-4,0.053587174,0.027512831,0.915942029,0,0
2.20349E-4,0.102610742,0.054047369,0.907246377,0,0
3.62746E-4,0.232880731,0.085972049,0.895652174,0.043478261,0
4.08698E-4,0.311391312,0.095819126,0.889855072,0.043478261,0
4.58336E-4,0.426869738,0.106220652,0.88115942,0.043478261,0
4.98098E-4,0.542022351,0.114381545,0.875362319,0.057971014,0
5.11756E-4,0.643686812,0.11715049,0.869565217,0.072463768,0
5.24287E-4,0.748170042,0.119675784,0.863768116,0.072463768,0
5.41058E-4,0.802275877,0.123033095,0.860869565,0.072463768,0
6.05058E-4,0.921642555,0.135612626,0.855072464,0.072463768,0
6.8256E-4,1.056938062,0.150371264,0.849275362,0.072463768,0
7.03191E-4,1.127257152,0.154215373,0.846376812,0.072463768,0
7.12438E-4,1.26899767,0.155927162,0.84057971,0.072463768,0
7.1469E-4,1.34046663,0.156342871,0.837681159,0.072463768,0
7.68184E-4,1.417285004,0.166101304,0.834782609,0.072463768,0
7.98805E-4,1.575362609,0.17158636,0.828985507,0.072463768,0
8.41443E-4,1.822839375,0.179104724,0.820289855,0.072463768,0
9.02603E-4,2.089001991,0.189653931,0.811594203,0.072463768,0
9.22873E-4,2.271559798,0.193090699,0.805797101,0.072463768,0
9.42387E-4,2.551746368,0.196371831,0.797101449,0.072463768,0
9.55084E-4,2.836408232,0.198492447,0.788405797,0.072463768,0
9.90151E-4,3.03423364,0.204291466,0.782608696,0.072463768,0
1.06563E-3,3.348648695,0.216492636,0.773913043,0.072463768,0
1.08064E-3,3.563405893,0.218874509,0.768115942,0.072463768,0
1.1077E-3,3.782767208,0.223132627,0.762318841,0.072463768,0
1.15927E-3,4.010935536,0.231120055,0.756521739,0.086956522,0
1.16422E-3,4.359644923,0.231877382,0.747826087,0.086956522,0
1.18054E-3,4.595657108,0.234366098,0.742028986,0.101449275,0
1.19163E-3,4.833877864,0.236048336,0.736231884,0.101449275,0
1.22266E-3,5.076055486,0.240715335,0.730434783,0.115942029,0
1.23353E-3,5.321983254,0.242337008,0.724637681,0.115942029,0
1.24847E-3,5.570501729,0.244554024,0.71884058,0.115942029,0
1.25331E-3,5.8210862,0.245270348,0.713043478,0.115942029,0
1.27361E-3,6.074891721,0.248256386,0.707246377,0.115942029,0
1.32084E-3,6.338223674,0.25511437,0.701449275,0.115942029,0
1.32224E-3,6.602653695,0.255316146,0.695652174,0.115942029,0
1.34175E-3,6.870043808,0.258110142,0.689855072,0.130434783,0
1.38453E-3,7.008496688,0.264165805,0.686956522,0.144927536,0
1.40743E-3,7.289459536,0.267366583,0.68115942,0.15942029,0
1.51923E-3,7.588664629,0.282603248,0.675362319,0.15942029,0
1.56115E-3,7.803943749,0.288153979,0.669565217,0.15942029,0
