Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
3.10153E-3,16.886597019,0.249948881,0.231884058,0.043478261,0
3.18384E-3,17.204981012,0.254891189,0.228985507,0.043478261,0
3.34227E-3,17.539207688,0.264223268,0.226086957,0.043478261,0
3.34636E-3,17.873843502,0.264461173,0.223188406,0.057971014,0
3.43241E-3,18.217084588,0.269429569,0.220289855,0.057971014,0
3.43637E-3,18.560721859,0.269656698,0.217391304,0.057971014,0
3.62363E-3,18.923085109,0.280233325,0.214492754,0.057971014,0
3.62858E-3,19.285942793,0.280508437,0.211594203,0.057971014,0
3.63922E-3,19.649864758,0.28109991,0.208695652,0.057971014,0
3.79165E-3,20.029029563,0.289465631,0.205797101,0.057971014,0
3.9917E-3,20.428199098,0.300153824,0.202898551,0.057971014,0
4.14695E-3,20.842893888,0.308229655,0.2,0.057971014,0
4.34524E-3,21.277418319,0.318277394,0.197101449,0.057971014,0
4.54254E-3,21.731672113,0.327988779,0.194202899,0.057971014,0
4.7365E-3,22.205321631,0.337269957,0.191304348,0.057971014,0
4.87945E-3,22.693266307,0.343947978,0.188405797,0.057971014,0
4.9713E-3,23.19039654,0.34816847,0.185507246,0.057971014,0
5.1545E-3,23.705846815,0.356425888,0.182608696,0.057971014,0
5.24952E-3,24.230798423,0.360626587,0.179710145,0.057971014,0
5.34689E-3,24.765487618,0.364875217,0.176811594,0.057971014,0
5.43425E-3,25.308912976,0.368639145,0.173913043,0.057971014,0
5.51E-3,25.859913411,0.371866898,0.171014493,0.057971014,0
5.65604E-3,26.425517403,0.377997266,0.168115942,0.057971014,0
5.7524E-3,27.000757297,0.381977174,0.165217391,0.057971014,0
5.81461E-3,27.582217913,0.384519572,0.162318841,0.057971014,0
6.02858E-3,28.185075758,0.393107091,0.15942029,0.057971014,0
6.06221E-3,28.791296284,0.394434921,0.156521739,0.057971014,0
6.22192E-3,29.413488075,0.400663015,0.153623188,0.057971014,0
6.24602E-3,30.038089766,0.401591664,0.150724638,0.057971014,0
6.37254E-3,30.675343718,0.406420347,0.147826087,0.057971014,0
6.38129E-3,31.313472247,0.406751248,0.144927536,0.057971014,0
6.44664E-3,31.958135772,0.409212168,0.142028986,0.057971014,0
