Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.71078E-5,0.001710785,0.002624246,1,0,0
1.71594E-5,0.003426726,0.002632135,0.997101449,0,0
1.72194E-5,0.005148666,0.002641311,0.994202899,0,0
2.76523E-5,0.010248054,0.004234859,0.988405797,0,0
4.2122E-5,0.0281255,0.006436583,0.973913043,0,0
5.11297E-5,0.051674882,0.007802291,0.95942029,0,0
6.70787E-5,0.1045968,0.010211211,0.933333333,0,0
1.01217E-4,0.20503884,0.015328408,0.898550725,0,0
1.29951E-4,0.312975086,0.019594599,0.872463768,0,0
1.52382E-4,0.401021647,0.022899314,0.855072464,0,0
1.69885E-4,0.512633033,0.025462668,0.834782609,0,0
1.84615E-4,0.603158313,0.027609508,0.820289855,0,0
2.00236E-4,0.701575673,0.029875878,0.805797101,0,0
2.05675E-4,0.762461197,0.030662469,0.797101449,0,0
2.12274E-4,0.804687299,0.031615183,0.791304348,0,0
2.28381E-4,0.915392385,0.033932573,0.776811594,0,0
2.33376E-4,1.007778929,0.034649104,0.765217391,0,0
2.41161E-4,1.102964131,0.035763571,0.753623188,0,0
2.48836E-4,1.200392698,0.036859845,0.742028986,0,0
2.6554E-4,1.304059113,0.039237089,0.730434783,0,0
2.8516E-4,1.413681136,0.042014438,0.71884058,0,0
2.98973E-4,1.501468827,0.043960108,0.710144928,0,0
3.28985E-4,1.755080684,0.048160349,0.686956522,0,0
3.63975E-4,2.033268273,0.053011084,0.663768116,0,0
4.13539E-4,2.274147923,0.059798118,0.646376812,0,0
4.54306E-4,2.537152347,0.065308108,0.628985507,0,0
4.66557E-4,2.767971885,0.066951307,0.614492754,0,0
5.34281E-4,3.022777109,0.075931868,0.6,0,0
5.83041E-4,3.304389957,0.082291378,0.585507246,0,0
6.38108E-4,3.550810269,0.089368977,0.573913043,0,0
6.99805E-4,3.750675255,0.097170203,0.565217391,0,0
7.39867E-4,4.038726174,0.102164689,0.553623188,0,0
7.86138E-4,4.269415717,0.10786481,0.544927536,0,0
8.52057E-4,4.517141436,0.115861513,0.536231884,0,0
8.84237E-4,4.779466772,0.119713481,0.527536232,0,0
9.1416E-4,5.05270785,0.123265262,0.51884058,0,0
9.56544E-4,5.334089272,0.128247382,0.510144928,0,0
9.6622E-4,5.527259152,0.129376799,0.504347826,0,0
1.01056E-3,5.825655454,0.134515698,0.495652174,0,0
1.02665E-3,6.029766686,0.136365082,0.489855072,0,0
1.06453E-3,6.3468044,0.140688375,0.48115942,0.014492754,0
1.14024E-3,6.569742252,0.149201658,0.475362319,0.014492754,0
1.16743E-3,6.802523521,0.152217769,0.469565217,0.014492754,0
1.22204E-3,7.043865516,0.158211386,0.463768116,0.014492754,0
1.23865E-3,7.290768236,0.160018133,0.457971014,0.014492754,0
1.26528E-3,7.543406258,0.162897349,0.452173913,0.014492754,0
1.33026E-3,7.804932798,0.169843238,0.446376812,0.014492754,0
1.3586E-3,8.074548206,0.172835598,0.44057971,0.028985507,0
1.39573E-3,8.351247085,0.176724229,0.434782609,0.028985507,0
1.42561E-3,8.633510326,0.17982781,0.428985507,0.028985507,0
1.55533E-3,8.789043397,0.193032017,0.426086957,0.028985507,0
1.58345E-3,9.104006121,0.195838684,0.420289855,0.028985507,0
1.596E-3,9.263606336,0.197084916,0.417391304,0.028985507,0
1.68148E-3,9.595096817,0.205471104,0.411594203,0.028985507,0
1.68894E-3,9.763990534,0.206194809,0.408695652,0.028985507,0
1.71955E-3,10.106861275,0.209150488,0.402898551,0.028985507,0
1.71985E-3,10.278846128,0.209179232,0.4,0.028985507,0
1.72632E-3,10.624005354,0.209801644,0.394202899,0.028985507,0
1.73309E-3,10.797313887,0.210450365,0.391304348,0.028985507,0
1.80347E-3,11.151941914,0.217141803,0.385507246,0.028985507,0
1.87065E-3,11.33900703,0.2234229,0.382608696,0.043478261,0
1.88397E-3,11.52740433,0.224656553,0.379710145,0.043478261,0
1.92301E-3,11.908389948,0.22824903,0.373913043,0.043478261,0
1.94161E-3,12.102551217,0.229949352,0.371014493,0.043478261,0
1.97648E-3,12.30019905,0.233115979,0.368115942,0.043478261,0
2.01318E-3,12.700047081,0.236421381,0.362318841,0.043478261,0
2.0572E-3,12.90576722,0.240348539,0.35942029,0.043478261,0
2.06651E-3,13.112417916,0.241173531,0.356521739,0.043478261,0
2.13947E-3,13.326364877,0.247580512,0.353623188,0.043478261,0
2.1651E-3,13.542875218,0.249805855,0.350724638,0.043478261,0
2.19706E-3,13.762580761,0.252561338,0.347826087,0.043478261,0
2.28428E-3,14.200175165,0.259981517,0.342028986,0.043478261,0
2.31172E-3,14.443018723,0.262284967,0.339130435,0.057971014,0
2.33464E-3,14.676482925,0.26419891,0.336231884,0.057971014,0
2.42352E-3,14.89205805,0.271526016,0.333333333,0.057971014,0
2.47474E-3,15.16746066,0.275682319,0.330434783,0.072463768,0
